Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
ADHOC,Gold,"Argentina , Santa Fe , Rosario , 2000",413,5,https://www.odoo.com/partners/adhoc-990138,v18:3; v17:2,413.0,92.0,200,11,Wholesale / Retail 198 Other Services 85 IT / Communication / Marketing 33 Manufacturing / Maintenance 30 Construction & Renovation 14 HR / Administrative / Consulting 10 Health / Social Welfare / Pharmaceutical 6 Agriculture 5 Science & Technology 4 Education 4,5,14,0,0,4,0,0,0,0,10,6,0,33,30,0,0,85,0,4,0,0,198
Dynapps NV,Gold,"Belgium , Antwerpen , Geel , 2440",358,30,https://www.odoo.com/partners/dynapps-nv-4155,v19:1; v18:21; v17:8,358.0,94.0,300,22,Wholesale / Retail 81 Manufacturing / Maintenance 55 IT / Communication / Marketing 45 Other Services 32 Utilities / Energy / Water supply 27 Science & Technology 27 Construction & Renovation 24 Food / Hospitality / Tourism / Beverage 23 Health / Social Welfare / Pharmaceutical 21 HR / Administrative / Consulting 9,0,24,0,0,0,0,0,23,0,9,21,0,45,55,0,0,32,0,27,0,27,81
apik,Gold,"France , Bordeaux , 33000",280,7,https://www.odoo.com/partners/apik-732280,v19:2; v18:3; v17:2,280.0,95.0,300,13,Wholesale / Retail 63 Manufacturing / Maintenance 61 IT / Communication / Marketing 42 Other Services 23 Construction & Renovation 13 Food / Hospitality / Tourism / Beverage 10 Health / Social Welfare / Pharmaceutical 9 Households 7 Science & Technology 7 Utilities / Energy / Water supply 6,0,13,0,0,0,0,0,10,0,0,9,7,42,61,0,0,23,0,7,0,6,63
Nanobytes Informática y Telecomunicaciones S.L.,Gold,"Spain , Barcelona , Barcelona , 08014",275,36,https://www.odoo.com/partners/nanobytes-informatica-y-telecomunicaciones-sl-938517,v18:35; v17:1,275.0,94.0,200,10,Wholesale / Retail 67 Manufacturing / Maintenance 47 IT / Communication / Marketing 47 Other Services 28 Transportation/Logistics 13 Science & Technology 13 Utilities / Energy / Water supply 12 Health / Social Welfare / Pharmaceutical 11 Food / Hospitality / Tourism / Beverage 11 Finance / Legal / Insurance 9,0,0,0,0,0,0,9,11,0,0,11,0,47,47,0,0,28,0,13,13,12,67
Bista Solutions Inc.,Gold,"United States , Georgia , Norcross , 30092",261,71,https://www.odoo.com/partners/bista-solutions-inc-3994,v19:51; v18:16; v17:4,261.0,94.0,900,34,Manufacturing / Maintenance 129 Wholesale / Retail 60 Health / Social Welfare / Pharmaceutical 12 IT / Communication / Marketing 10 Food / Hospitality / Tourism / Beverage 8 Utilities / Energy / Water supply 8 Other Services 4 Science & Technology 3 Real Estate 3 HR / Administrative / Consulting 2,0,0,0,0,0,0,0,8,0,2,12,0,10,129,0,0,4,3,3,0,8,60
Somko BV,Gold,"Belgium , Merelbeke , 9820",256,8,https://www.odoo.com/partners/somko-bv-4254310,v18:7; v17:1,256.0,98.0,400,14,Wholesale / Retail 30 Science & Technology 25 IT / Communication / Marketing 25 Manufacturing / Maintenance 21 Construction & Renovation 17 Other Services 13 Utilities / Energy / Water supply 10 Health / Social Welfare / Pharmaceutical 8 Food / Hospitality / Tourism / Beverage 7 Transportation/Logistics 4,0,17,0,0,0,0,0,7,0,0,8,0,25,21,0,0,13,0,25,4,10,30
openfellas GmbH,Gold,"Germany , Bayern , München , 81673",233,39,https://www.odoo.com/partners/openfellas-gmbh-878799,v18:24; v17:15,233.0,88.0,700,23,Manufacturing / Maintenance 49 IT / Communication / Marketing 44 Wholesale / Retail 33 Other Services 31 Science & Technology 25 Utilities / Energy / Water supply 13 Construction & Renovation 10 Food / Hospitality / Tourism / Beverage 9 Health / Social Welfare / Pharmaceutical 7 Finance / Legal / Insurance 5,0,10,0,0,0,0,5,9,0,0,7,0,44,49,0,0,31,0,25,0,13,33
"QubiQ 2010, S.L",Gold,"Spain , Bizkaia (Vizcaya) , Derio , 48160",228,27,https://www.odoo.com/partners/qubiq-2010-sl-1394664,v19:1; v18:4; v17:22,228.0,96.0,200,18,Manufacturing / Maintenance 30 Wholesale / Retail 27 IT / Communication / Marketing 26 Other Services 24 Food / Hospitality / Tourism / Beverage 16 Construction & Renovation 12 Science & Technology 11 Health / Social Welfare / Pharmaceutical 8 Entertainment / Media 7 Finance / Legal / Insurance 6,0,12,0,0,0,7,6,16,0,0,8,0,26,30,0,0,24,0,11,0,0,27
Nalios International,Gold,"Belgium , Namur , 5020",221,16,https://www.odoo.com/partners/nalios-international-12935748,v19:3; v18:11; v17:2,221.0,94.0,300,13,Wholesale / Retail 39 Other Services 24 Manufacturing / Maintenance 24 Construction & Renovation 20 IT / Communication / Marketing 16 Utilities / Energy / Water supply 15 Food / Hospitality / Tourism / Beverage 15 Finance / Legal / Insurance 10 Education 9 HR / Administrative / Consulting 9,0,20,0,0,9,0,10,15,0,9,0,0,16,24,0,0,24,0,0,0,15,39
OBS Solutions GmbH,Gold,"Germany , Olpe , 57462",219,40,https://www.odoo.com/partners/obs-solutions-gmbh-5889242,v19:11; v18:26; v17:3,219.0,91.0,400,20,Manufacturing / Maintenance 53 IT / Communication / Marketing 52 Other Services 27 Wholesale / Retail 22 Health / Social Welfare / Pharmaceutical 19 Construction & Renovation 11 Science & Technology 10 Utilities / Energy / Water supply 10 Real Estate 8 Food / Hospitality / Tourism / Beverage 7,0,11,0,0,0,0,0,7,0,0,19,0,52,53,0,0,27,8,10,0,10,22
